title	onet_code	onet_name	job_zone	company	city	state	description_all
Customer Service Rep.'s desired	43-4051.00	Customer Service Representatives	2	anameriplansolution	PORTLAND	ME	"We are seeking friendly, energetic, creative people who are self starters and have a strong desire to succeed. Must be able to work independently. Primary duties: Will qualify and converse with prospects about our services. This contact is made by phone which includes inbound and outbound calls. There is never any cold calling. You will use a consultative approach to engage the prospect and determine their needs. You will educate and provide the information necessary to show the needs of our services. Schedules are FT and PT No experience is required but sales, customer service, marketing/advertising and general office experience is helpful. We will fully train the right candidate. All we expect is a serious commitment, positive attitude and the ability to accept instructions. Please respond to SYNERGYCAREERLIVING.COM Virtual Office"
Customer Service Rep.'s needed	43-4051.00	Customer Service Representatives	2	anameriplansolution	FRANKFORT	KY	"We only seek motivated people looking to achieve success. There is no cold calling or telemarketing. Heavy phone work both inbound and outbound. This is a telecommuting position which will also require email and marketing work online. Requirements Basic PC and internet Great We are seeking people to join our team and begin working today. We only seek motivated people looking to achieve success. verbal and speaking skills Outgoing, dependable with a strong desire to succeed. If you want to be successful and are ready to get started then this is your time. SYNERGYCAREERLIVING.COM to schedule a phone interview. Virtual Office"
Inventory Control	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Inter-Connect Employment Services	QUINCY	IL	"Responsible for inventory control and material handling. Previous experience with Return Material Authorization, Return to Vendor transactions, order booking. Knowledge of inventory management, Oracle or PeopleSoft. Must be able to lift up to 45lbs. Excellent pay and work conditions."
COLLECTIONS REP	43-3011.00	Bill and Account Collectors	2	Adecco Group	DULUTH	MN	"Adecco is searching for a highly independent worker with great customer service skills for a 6-8 week assignmet. A highly respected company in the Downtown area is searching for a great candidate to help with their collection calls. The right person for this role would be able to work with customers on payment plans, or invoicing issues using a soft collection approach. Previous Collection experience is helpful.\\n\\nPrevious Collection Experience."
Stacker Operator	53-7051.00	Industrial Truck and Tractor Operators	2	Inter-Connect Employment Services	QUINCY	IL	"This position is for 1st shift but with flexible hours. Additionally, the company offers an excellent benefit package. Job duties include: - Manually removing materials and products from machines and equipment - Fastening and/or stacking materials and products - Inspecting materials and products for defects - Weighing and/or measuring materials/products - Maintaining a clean and safe work environment"
Medical Coder	29-2071.00	Medical Records and Health Information Technicians	2	Snelling Staffing Services	NOVI	MI	"Description We are currently searching for a Medical Coder for a client of ours in Novi, Michigan. The Pay Rate for this position is between $16-20 per hour depending on expreince This is a Full Time position with a flexible schedule. Qualifications would include: This individual would need to have their CPC degree. Looking for someone who has at least 3 years experience This person would be responsible for taking medical notes, reviewing them, and coding the billing. Please email qualified resumes to: enogas@snellingjobs.com"
Production Manager-Food Packaging	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Kinsa Group	WAUSAU	WI	"About the Company A well-established company that is a producer of award-winning, high quality products. Outstanding nationwide reputation! Friendly, laid-back environment! About the Role Newly created role based on double digit growth Responsible for managing the operations, quality, and food safety of the production department (food packaging) Ensure consistency in product, training of employees 1st shift Background Profile Bachelor's Degree is preferred Experience within the food industry is a MUST Knowledge of packaging systems is preferred Production planning experience is preferred Must have experience working with budgets, in an ERP and MRP environment, metrics and KPI's Experience following quality procedures (BRC is a plus!) Benefits & Features Competitive salary & benefits, 401K, company parties and cookouts, very employee/family oriented Relocation provided!"
Production Manager-Food Packaging	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Kinsa	0	WI	"About the Company\\n\\n*\\n\\nA well-established company that is a producer of award-winning, high quality products. Outstanding nationwide reputation! Friendly, laid-back environment!\\n\\nAbout the Role\\n\\n*\\n\\nNewly created role based on double digit growth\\n\\n*\\n\\nResponsible for managing the operations, quality, and food safety of the production department (food packaging)\\n\\n*\\n\\nEnsure consistency in product, training of employees\\n\\n*\\n\\n1st shift\\n\\nBackground Profile\\n\\n*\\n\\nBachelor’s Degree is preferred\\n\\n*\\n\\nExperience within the food industry is a MUST\\n\\n*\\n\\nKnowledge of packaging systems is preferred\\n\\n*\\n\\nProduction planning experience is preferred\\n\\n*\\n\\nMust have experience working with budgets, in an ERP and MRP environment, metrics and KPI’s\\n\\n*\\n\\nExperience following quality procedures (BRC is a plus!)\\n\\nBenefits & Features\\n\\n*\\n\\nCompetitive salary & benefits, 401K, company parties and cookouts, very employee/family oriented\\n\\nRelocation provided!"
Part-Time Restaurant Server	35-3031.00	Waiters and Waitresses	1	"HEI Hospitality, LLC"	WALTHAM	MA	"The Embassy Suites Boston/Waltham is a premier, all-suite hotel located in the heart of suburban Boston's corporate centers. Our full service, luxurious Waltham hotel is ideally located off I95/Route 128, 10 minutes from the Massachusetts Turnpike and just 25 minutes from downtown Boston and Logan International Airport. Located in the heart of the Massachusetts 128 Hi-Technology, Pharmaceutical and Life Sciences Belt and professional corridor, business and leisure travelers will find everything they need for the perfect stay at the Embassy Suites in Waltham, MA. Part of a rich and historic surrounding community, the hotel is situated near historic Lexington and Concord and convenient to several universities including Wellesley College, Brandeis University and Bentley College. The Embassy Suites is newly renovated and proudly owned by RLJ Lodging Trust and operated by HEI Hotels & Resorts."
PBX Operator	43-2011.00	"Switchboard Operators, Including Answering Service"	2	SearchPros	DENVER	CO	"PBX OperatorContractor: Long TermPay: DOEProvides call answering and call routing for high volume internal and external callers by operating a computer based directory system. Frequent overhead paging a digital/text paging. MUST BE ABLE TO MAKE CRITICAL LIFE-SAFETY DECISIONS based on caller related information and perform emergency procedure immediately in a busy 24X7 work environment.Required: One year exp. operating a heavy volume switchboard; two yrs. Customer service exp with direct contact w/public or a lrg institution;Good Spelling and Computer Savvy RequiredBilingual-SpanishMust be able to work 11pm-7a, 2pm-11p, or mornings. Flexibility requiredAlso will be required to come in and fill shifts for call offsPBX exp preferredType 40wpmMS Office - Computer testing and typing test required.Able to work nights, weekends and holidays as scheduledMust pass background check and complete health screen"
Cosmetic Fragrance Consultant (1422NYRG)	41-2031.00	Retail Salespersons	2	Recruit GAAP Staffing	NEW YORK CITY	NY	"With a local environment described as: Mature and friendly environment–Recruit GAAP Staffing is searching for a full time Cosmetic Fragrance Consultant for a company located in New York City, NY.  The right candidate will be able to successfully perform the primary roles and responsibilities of: Answer questions regarding products, Demonstrate how to apply products on customers, Great customer service.  Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Excellent people skills, Exceptional customer services, Excellent phone etiquette.  If a starting salary of up to $13 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: 1422NYRG. Location: New York City, NY 10087. Salary: $13/Hour. Job Code: 1422NYRG"
Caregivers	39-9021.00	Personal Care Aides	2	All Caregiver Jobs	BALTIMORE	MD	"The Caregiver is the core of your family members at-home care experience. Thats why our Caregivers meet standards that are unmatched in our industry. Overview - We carefully pair every elderly client with the most suitable Caregiver.- We provide all our Caregivers with ongoing education and training.- All our Caregivers are company employees with comprehensive benefits. This results in high commitment and low turnover.- We screen Caregivers scrupulously, conducting national background checks and drug testing.- All Caregivers are fully bonded and have workers compensation coverage.Our Employees Enjoy These BenefitsBecause we are concerned about the health and well-being of all of our staff, we have established an attractive and comprehensive benefits package as part of total compensation.It includes:- Medical and Dental Plans (a portion is company-paid)- Bonus Opportunities stress tolerance"
Main Cashier	41-2011.00	Cashiers	1	Pinnacle Entertainment	BOSSIER CITY	LA	"Job Title: Main Cashier City: Bossier City State: LA Work Schedule: Job Type: Full Time Average Hours per Week: Category: Casino Operations Job Description: The incumbent in this position is responsible for providing superior service to both the internal and external customer. The incumbent is also responsible for casino cage cash, coin, chips and records. activities of the Credit Office, ensuring that these responsibilities are processed in a timely manner and in accordance with established guidelines. Job Requirements: Effective verbal communication skills in person and on the telephone. Knowledge of credit operations, rules and regulations. Knowledge of interrelated department functions such as Cashiers Cage, Collections, and Casino Services. These skills and abilities are typically acquired through three years' bookkeeping and money-handling experience or closely related field. Must be 21 and able to obtain a Louisiana State Gaming License."
Bell Person	39-6011.00	Baggage Porters and Bellhops	2	Outrigger Enterprises Group	HONOLULU	HI	"This position requires working any day and shift (AM/PM)\\n\\nJob Summary\\nLoads and unloads guests' baggage and delivers them to respective rooms, assists with arranging ground transportation, provides information to guests, delivers amenities, keeps driveway presentable and coordinates laundry pick up and delivery.\\n\\nJob Qualifications\\nMust have at least a year of customer service experience. Must be able to lift at least 75 lbs. and be able to work any shift and day."
Line Leads 2nd Shift	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Elite Staffing Inc	LA GRANGE	IL	"Elite Staffing, Inc. is proud to be an equal opportunity employer. Our policy of equal employment opportunity is to recruit, hire, train and promote persons without regard to race, color, religion, national origin, sex, age, disability, handicap or any other protected status. Line Leads 2nd Shift Seeking for Line Leaders for 1st shift Hodgkins (Near La Grange) and Bridgeview (77th and Harlem) Bilingual (English/Spanish) -Must have own transportation NO RELIABLE CTA AVAILABLE IN AREA -One Year of Manufacturing and/or Warehouse experience -Worked on the Assembly Line -Basic Computer skills -Inventory Experience a PLUS! -Able to work in Cold/Hot environment Start times vary with OT -Must have Flexibility with hours 9-12 hour shifts and some Saturdays 2nd shift from 3:30 PM to Midnight +Overtime Start pay $10 6-10 month temp to hire program Elite Staffing Offers a benefits package Company offers Holiday pay after 500hrs Vacation pay for 30hrs paid after 1800hrs"
DIRECT HIRE: EXTRUSION MACHINE OPERATOR	51-9041.00	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"	2	Randstad	SHAWNEE MISSION	KS	A client in Lenexa is looking for an Extrusion Operator on the NIGHT shift  this is a 12 hour rotating shift  that we can explain more over the phone   The shift requires you to work every other weekend   Pay is  13 hr   DIRECT HIRE  no temp time   Night Shift  7pm 7am  with rotating shifts  requiring you to work every other weekend   MUST HAVE s    Extrusion machine operator experience   Reliable work history   2 professional references that can vouch for your reliability   experience   All candidates must submit to a criminal background check  drug screen   also have reliable transportation
Mailroom Customer Service	43-9051.00	"Mail Clerks and Mail Machine Operators, Except Postal Service"	2	Randstad	DULLES	VA	Qualifications  Candidate will work in client s on site Print Shop  must have 3 5 years of print  pre press    bindery experience  must have PC   MAC experience  must be punctual  reliable  and a team player   Responsibilities  Candidate will work 10 00am   7 00pm shift in client s on site Print Shop  will operate digital printing machines  wide format equipment  bindery equipment  etc
Delivery Driver(05962) - 101 HWY 12	53-3033.00	Light Truck or Delivery Services Drivers	2	Dominos Pizza	STARKVILLE	MS	"ABOUT THE JOB Drivers are in the public eye and interact with our Customers face-to-face. The outstanding service you provide as a driver will ensure Customers continue to do business with Domino's Pizza. As a driver, you will receive milage reimbursement and you will go home every day with cash in your pocket from tips."
Dietary Manager	29-2051.00	Dietetic Technicians	2	Recruit GAAP Staffing	SAVANNAH	GA	"Job Title: Dietary Manager. Recruit GAAP Staffing is searching for a full time Dietary Manager for a company located in Savannah, GA. Industry Environment: Healthcare. With a local work environment described as: Laid back where everyone is friendly. Location: Savannah, GA 31411. Salary: $18/Hour. Job Code: RG6749. The right candidate will be able to successfully perform the primary roles and responsibilities of: Overseeing employees., Doing assessments of clients, Insuring that patients are fed. Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Oversee dietary department, File expense reports, Greeting and getting along with the clients. If a starting salary of up to $18 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: RG6749."
Release of information Specialist	29-2071.00	Medical Records and Health Information Technicians	2	Pine Rest Christian Mental Health Services	GRAND RAPIDS	MI	"This 20 hour position would require the person to be a specialist in release of information, chart processing and document imagining reporting to our HIM department. Prior experience with release of information and document imagining preferred."
Light Assembly/Packaging (Finisher) Lead - 1st shift (1 025319 10666253)	51-2092.00	Team Assemblers	2	Adecco	LANCASTER	NY	"Job descriptionThe qualifed candidate will review and prioritize routers of stamped product, they creat product part number stamp and stamping product and remove cutouts from products. The associate will be tagging and bundling usable centers for the sheeting department, creating labels indicating part numbers and number of pieces and affixing bar code lables"
Warehouse Handler	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	qxe Employment	LOUISVILLE	KY	"Seeking to fill newly opened warehouse Handler/Shipping/Receiving positions in our new warehouse branch. The positions are in our Food and Beverage Department which sells and ships our products nationwide. The normal work schedule for this position is Monday through Friday 7:00 AM to 4:00 PM.REQUIRED SKILLS, ABILITIES & CHARACTERISTICS:Good EnglishGood verbal communication skillsAble to work effectively in a fast-paced environmentAble to multi-task and effectively handle competing prioritiesAble to complete tasks and resolve problems timely and effectivelyAble to take direction, ask questions and learn new thingsEnthusiastic with a positive ""can do"" attitudeGrocery warehouse experience is a plus but not required Strong interpersonal skills."
Dispatcher - Transportation and Freight - Logistics Dispatcher	43-5032.00	"Dispatchers, Except Police, Fire, and Ambulance"	2	Bob Moore Automotive	OKLAHOMA CITY	OK	"Tercero, a Bob Moore company, is seeking a Transporation Logistics Dispatcher. This position is responsible for dispatching drivers that deliver freight.Duties: Manage all transportation logistics such as freight in transit.Schedule inbound and outbound shipments.Negociate with new customers and carriers.Qualifications: The ideal candidate must have 1 year of previous experience in dispatching.High School Education or equivalentExcellent verbal and written communication skillsExcellent phone skillsComputer skills (Excel, Windows XP, etc)Ability to provide great customer service dispatcher logistics transportation freight dispatcher logistics transportation freight dispatcher logistics transportation freight dispatcher logistics transportation freight Keywords:dispatcher,logistics,transportation,freight"
Office clerk	43-9061.00	"Office Clerks, General"	2	SpectraForce Technologies	CHARLOTTE	NC	"Good Day,We have an urgent requirement with our client as Office clerk at Charlotte NC 28217. Please go through the Job Description & if you find it interesting or would like to apply for future positions of similar kind then reply to the email or call me at 919-887-6786 ext 4135. Job Title : Office clerk Location: Charlotte NC 28217Duration: 2 Months Qualifications:Strong computer skills. Responsibilities:Indexing, scanning, filing, lifting 20 lb boxes, administrative, identifying mortgage documents, Thanks & Regards,Ritika Bharti |Client Delivery Executive|Spectraforce Technologies||9198876786 ext. 4135| Email: rbharti@spectraforce.com 5511 Capital Center Drive,Suite 340, Raleigh, NC 27606 USVisit us: www.spectraforce.com* Raleigh * New Jersy * Puerto Rico * Pune * Hyderabad * Bangalore * Chandigarh* ""It's not what you gather, but what you scatter that tells what kind of life you have lived. """
CUSTOMER SERVICE PROFESSIONALS	43-4051.00	Customer Service Representatives	2	Adecco	GLEN ALLEN	VA	"Customer Service ProfessionalsLocation: Glen Allen, VA Category: Customer ServiceJob Type: Temporary/Contract Reference: US_EN_7_20770_29908574Posted: April 03,2014 Salary: $9 - $10 Hourly Our client is hiring for a Customer Service job in Richmond, VA. You must have previous customer service experience and have good oral communication skills. You must be flexible as there may be evening and / or weekend shifts. pay range for this position is $9-10 per hour.• The Customer Service job responsibilities include:• Strong customer service• Good oral and written communication skills• Must be reliable• Must be able to type a minimum of 40 WPMIf you are interested in a Customer Service job in Richmond, VA, apply online at www.ajilon.com <div"
CUSTOMER SERVICE PROFESSIONALS	43-4051.00	Customer Service Representatives	2	Adecco Group	SPRINGFIELD	MO	"Job description\\n\\nCustomer Service Professionals\\n\\nAdecco is currently assisting a local client in their search for experienced Customer Service Professionals in Springfield, MO. This position is a temporary job opportunity that will last for 3 days. Customer Service Professionals will be responsible for providing professional customer service to clients. If you meet the qualifications listed below please Apply Now!\\n\\nResponsibilities for Customer Service Professionals include but are not limited to the following:\\n\\n• Data Entry\\n• Exhibit a high degree of professionalism\\n\\nWe have 40 openings for July 14-16.\\n\\nPay for this position is $11.00/hr.\\n\\nAdecco provides one of the most comprehensive benefits package in the industry to contract workers.\\n\\nClick on Apply Now to be considered for this position or any other Customer Service related job opportunities with Adecco.\\n\\nEqual Opportunity Employer Minorities/Women/Veterans/Disabled"
Dietary Aide	29-2051.00	Dietetic Technicians	2	Marquis Companies	WILSONVILLE	OR	"*\\n\\nAs a Dietary Aide, you will be involved with setting & clearing tables for patients, assisting patients at meal times, some prep work in the kitchen and washing dishes.\\n\\nExperience working in a kitchen setting of some sort is required.\\n\\nÂ\\n\\nQualified candidates must be self-directed, responsible; willing to work varied hours for special events, and you must have excellent customer service skills.Â"
Dietary Aide	29-2051.00	Dietetic Technicians	2	Marquis Companies	LAS VEGAS	NV	"As a Dietary Aide, you will be involved with setting & clearing tables for patients, assisting patients at meal times, some prep work in the kitchen and washing dishes.Experience working in a kitchen setting of some sort is required.?Qualified candidates must be self-directed, responsible; willing to work varied hours for special events, and you must have excellent customer service skills.?"
COLLECTIONS SPECIALIST	43-3011.00	Bill and Account Collectors	2	Adecco Group	WINSTON-SALEM	NC	"Collect delinquent accounts in a timely, orderly and professional manner while following all standardized collections procedures. Make supervisor aware of problem accounts that may result in repossession, foreclosure, or charge-off. At least 3 years of previous collections experience required."
Sterile Processing Tech Fulltime Evenings	31-9093.00	Medical Equipment Preparers	2	Baylor Health Care System	PLANO	TX	"Job Location: Plano, TX\\n\\nThe Sterile Processing Tech II operates sterilizers, maintains sterilization records and performs biological and monitor testing of sterilizers. Orders and maintains case cart stock supplies. Receives, picks up, processes and delivers supplies and equipment for various departments.\\n\\nStatus: Fulltime\\n\\nHours: Evenings\\n\\nLocation: The Heart Hospital Baylor Plano\\n\\nQualifications\\n\\nHigh School or GED required\\n\\nCertification in Sterile Processing is highly preferred.\\n\\nReq ID:184752_1\\n\\nJob ID: 184752_1"
Sterile Processing Tech Fulltime Evenings	31-9093.00	Medical Equipment Preparers	2	Baylor Health Care System	PLANO	TX	"The Sterile Processing Tech II operates sterilizers, maintains sterilization records and performs biological and monitor testing of sterilizers. Orders and maintains case cart stock supplies. Receives, picks up, processes and delivers supplies and equipment for various departments.\\n\\nStatus: Fulltime\\n\\nHours: Evenings\\n\\nLocation: The Heart Hospital Baylor Plano\\n\\n \\n\\n \\n\\nHigh School or GED required\\n\\nCertification in Sterile Processing is highly preferred."
Patient Accounts Customer Service Representative	43-3011.00	Bill and Account Collectors	2	Massachusetts Eye And Ear Infirmary	QUINCY	MA	"Responds to patient billing inquiries, the research of payments, and the initiation of the proper steps to ensure correct resolution of patients' accounts\\n \\n\\n \\nHigh school graduate or equivalent required.\\nMinimum 2 years experience in a hospital billing office required\\n\\nExperience in a Customer Service oriented roll preferred. Good verbal and written communications skills required. Knowledge of PC software. Must be able to work with minimal supervision."
Custodian I	37-1011.00	First-Line Supervisors of Housekeeping and Janitorial Workers	2	Columbus State University	COLUMBUS	GA	"Columbus State University has two openings for a full-time Custodian I position in the Campus Services Department.\\n \\n_#$_NO_BENEFITS_TEXT_\\n \\nMinimum qualifications include a high school diploma or general education degree (GED); and one to three months related work experience; or any equivalent combination of training and experience. The selected candidate must have the ability to read and comprehend simple instruction; ability to exercise care in the use of cleaning materials for different types of building surfaces; ability to use certain cleaning tools and equipment such as buffer, polisher, vacuum, carpet shampoo machine; and the ability to perform medium to heavy physical work."
Order Builder-RECRUITED-CCR	43-4151.00	Order Clerks	2	SpectraForce Technologies	KNOXVILLE	TN	"DescriptionResponsible for pulling orders based on pick ticket to accurately build orders for loading onto delivery trucks. Build orders according to assigned load tickets using industrial power equipment. Manually lift and move product to restock and repack ensuring date code accuracy and proper rotation. Adhere to good manufacturing practices and safety standards. Responsible for meeting productivity requirements. Stage completed pallets in designated area. Must be able to operate a Pallet Jack.Robin GargTechnical RecruiterSpectraforce Technologies Inc.5511 Capital Center Drive,Suite 340,Raleigh, NC 27606.919-887-6786 EXT-4119 Email id: rgarg@spectraforce.com battabgh@gmail.com robin_garg82 http://in.linkedin.com..."
Order Builder-RECRUITED-CCR	43-4151.00	Order Clerks	2	SpectraForce Technologies	FORT WORTH	TX	"Responsible for pulling orders based on pick ticket to accurately build orders for loading onto delivery trucks. Build orders according to assigned load tickets using industrial power equipment. Manually lift and move product to restock and repack ensuring date code accuracy and proper rotation. Adhere to good manufacturing practices and safety standards. Responsible for meeting productivity requirements. Stage completed pallets in designated area. Shift is Sunday through Thursday, 6:00 pm until finish. On Sunday, they work 9:00 am to finish even though they are considered night shift.We would like to pay $10.00 to the worker, $14.14 after markup. Temp to FT is a possibility."
Inventory Leader	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Recruit GAAP Staffing	EUGENE	OR	"Job Title: Inventory Leader. Recruit GAAP Staffing is searching for a full time Inventory Leader for a company located in Eugene, OR. Industry Environment: Logistics. With a local work environment described as: Organized and profitable. Location: Eugene, OR 97403. Salary: $18/Hour. Job Code: RG3548. The right candidate will be able to successfully perform the primary roles and responsibilities of: Outbound and Inbound Delivery Monitoring, Shipment Overview, Bin Status Report. Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Type 70 WPM, SAP Proficient, Great communication skills. If a starting salary of up to $18 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: RG3548."
Inventory Leader	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Recruit GAAP Staffing	HIALEAH	FL	"The Logistics industry is seeking a full-time Inventory Leader for the Hialeah Gardens, FL area.  Starting wage or salary up to $40000 per Year.   Job Code: LF2-558FL.  Environment described as: Organized and profitable.  Recruit GAAP seeks someone who can successfully perform the following tasks or scope of responsibilities: Shipment Overview, Outbound and Inbound Delivery Monitoring, Bin Status Report. The right candidate will have experience with, or the skills and abilities to: Type 70 WPM, Great communication skills, SAP Proficient. Location: Hialeah Gardens, FL 33016."
Warehouse Associates	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Aegis Logistics Ltd	KANSAS CITY	MO	"Our warehouse facility is seeking to hire multiple general Warehouse associates whose duties include receiving, stock keeping, picking, packing and shipping activities.An extensive list of job duties include:1. Handle incoming shipments2. Perform verification of purchased products and enter order receipts into the computer system3. Perform quality assurance inspections when appropriate4. Place received material into proper warehouse storage locations5. Pull, pack, weight and label materials for shipment6. Assist in loading trucks7. Record and process customer complaints8. Perform other duties as requiredMinimum requirements for applicants are:-High School Diploma or GED,-minimum 18 years of age.While previous warehouse work experience is a plus, it is not necessary as we provide paid training. Ability to follow direction"
"Medical Receptionist, Windrose Family Medicine, Spring"	43-6013.00	Medical Secretaries	2	Tenet Health	HOUSTON	TX	"Windrose Family Medicine 20423 Kuykendahl RD Spring, TX 77379 (40 Hrs/week- some weekend hours) Complete necessary documentation using Electronic Medical Records. Assist with auditing, billing, and coding as requested. Calls appropriate insurance to pre-certify surgeries, or tests ordered by the physician or other health care provider. Answering phones, scheduling appointments and entering patient demographic information into charts, confirming appointments, collecting money from patients, medical records request, working on e-clinical and nextgen system, checking patients in and out. Printing reciepts, insurance referrals, verifying insurance, scanning DL and Insurance cards, End of Day Reports.One year of medical office experience, front and back office Knowledge of coding and billing Front office experience in MS Office Suite, and Electronic Medical Records (Next Gen is a plus), handle phone lines, collect, and post payments. Fast pace busy phones Non-smoker"
Truck Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Axelon Services Corporation	KALAMAZOO	MI	"Heavy Industrial > Truck Driver Driver that can drive a semi-tractor, they will need a CDL A with a hazmat endorsement. They will also need a fork truck or electric hand truck license. Driving onsite at the Kalamazoo facility and possibility of off-site as well. Must have a mule permit as well. SkillsImportanceExperienceCompetency Forklift Certification Light Industrial > Distribution > Driver/Courier > Certifications/Licenses > Forklift Certification 2. Required 1-3 Years 2. Intermediate"
CDL Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	SEACOR Holdings	FORT LAUDERDALE	FL	* transports equipment and cargo throughout different company in-house locations. Locations are 3 miles round trip.\\n\\n* maintain daily “Log of Loads Pulled”\\n\\n* perform equipment pre-inspection daily\\n\\n* maintain thorough and accurate records using the “Driver’s Vehicle Inspection Report”\\n\\n* responsible for maintaining a safe work environment .\\n \\n\\n \\nCDL driver is needed for a fast paced Ocean frieght forwarder.  Driver must be Hazmat certified or have the abiliy to obtain a Hazmat certification within 30 days. Driver must have an excedllent driving record.  Driver must also be able to obtain a TWIC card.
Insurance Representative	43-9041.01	Insurance Claims Clerks	2	Prodigy Placements	COPPELL	TX	"Insurance/Mortgage Specialist Needed for Insurance Servicing Company in Coppell, TX. Must have the following: : Understanding of insurance/ mortgage lending requirements-REQUIRED!!!! : Teneo highly preferred (if no experience with Teneo, candidate must have solid tenure and insurance experience) : May be required to serve as backup to customer service department during peak times (good phone etiquette) : Must be available to work 8-5, 8:30-5:30, 9-6 (occasionally until 9pm if needed) Required Skills: *Call Center experience *Detail Oriented *Prior Data Entry Experience *Knowledge of Mortgage Agreements and Lending All applicants must pass background, reference checks and evaluations."
Stockroom/Distribution Center Clerk	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	"Adroit Partners, LLC"	SUGAR LAND	TX	"Job Snapshot Job Title: Stockroom/Distribution Center Clerk Type: Temp To Hire Industry: Manufacturing Location: Houston, TX Experience: 0-2 years Job Description: The client, located in Sugar Land is looking for someone to help in their distribution center. The candidate will take orders, fill the orders, entering shipping information in computers, print mailing labels, etc. Requirements: Pay is $10 with previous experience and $9 with no previous experience, M-F, 9:30am-6:30am MUST have GED or High School Diploma Must understand basic math Must be able to follow instructions and rules Good eyesight Must be able to pass a drug and background check Must be able to lift 65 lbs."
Member Service Representative I	43-4051.00	Customer Service Representatives	2	Sunflower State Health Plan	MILWAUKEE	WI	"Position Purpose: Receive and respond to member/customer inquiries via telephone and written correspondence in a timely and professional manner. Receive and respond to all telephone or written correspondence inquiries from members within established timeframes and policies Assist members with plan benefits via telephone, in writing, in person or make referral to outreach representative as appropriate Document in the computer system all members’ issues and resolution Utilize current reference materials to assist and resolve any member inquiries May coordinate member transportationEducation/Experience: High school diploma or equivalent. Bilingual preferred in some states. 1 year customer service experience in a call center environment, preferably in a Medicare, Medicaid managed care or insurance environment."
Head Custodian	37-1011.00	First-Line Supervisors of Housekeeping and Janitorial Workers	2	Metropolitan School District of Decatur Township	INDIANAPOLIS	IN	"12 month position; 8 hours/day; 2:30-11:00 pm; Monday through Friday Must be able to manage employees and the custodial operations of a facility; Must have organizational skills to manage the staff and facility; Must be physically able to clean, mop, dust, sweep, take care of the grounds and organize summer cleaning; Must be willing to perform all other tasks as assigned by supervisor; Must have the knowledge of basic electrical and other minor building maintenance; Must have the general knowledge of how to use a computer, Microsoft Outlook, and the Kronos time clock system; Must be able to switch to a different shift time during fall, Christmas, spring and summer breaks"
Part Time Physical Therapy PT School Job Dallas TX (37444185)	31-2022.00	Physical Therapist Aides	2	Soliant Health	DALLAS	TX	"A school district near Dallas TX has a part time Physical Therapy job opening for the upcoming school year. 2 days per week. Location is 20 miles east of Dallas. Previous pediatric or school based experience is preferred. PT must have an active Texas license prior to start date.\\n\\nSoliant will create a pay package that is based on your needs. We can assist you with relocation, state licensure, and provide tax free stipends if eligible. As a Soliant employee you will also enjoy weekly pay with direct deposit, great benefits, matching 401(k), and CEU reimbursements.\\n\\nApply Now or contact Soliant Health for more information regarding this Part Time PT school job near Dallas TX.\\n\\nSean Vere\\nSenior Associate\\n866-507-3052\\nsean.vere@soliant.com"
Part-Time Warehouse - Inventory	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	qxe Employment	ALPHARETTA	GA	"Part time Warehouse / Inventory position opened for an experienced person. This position includes organization and inventory control, ordering, tracking, receiving and stocking, as well as drawing inventory for outgoing jobs.Responsibilities include:-receiving inventory on a daily basis,-equipment labeling,-stocking shelves,-pulling inventory for installation and service departments,-data entry for receiving of stock,-daily inventory re-order reports,-monthly inventory reports,-warehouse organization and warehouse maintenance.The hours for this job are 6:30am to 10:30am Monday through Friday. Some time flexibility during the end of month inventory will be necessary. This is a fast paced environment with multiple projects and tasks going on simultaneously. Ability to stay alert and focused at all times and the ability to lift heavy items is a must. Strong interpersonal skills."
